depth_m,filename,frame_no
83.2,'01747002,33634
83.2,'01747002,33739
83.2,'01747002,33844
83.3,'01747002,33949
83.3,'01747002,34054
83.3,'01747002,34159
93.7,'01747002,19144
83.3,'01747002,34264
83.3,'01747002,34369
83.1,'01747002,34474
82.8,'01747002,34579
82.1,'01747002,34684
82.2,'01747002,34789
82.5,'01747002,34894
93.7,'01747002,19249
93.7,'01747002,19354
93.6,'01747002,19459
93.7,'01747002,17674
93.3,'01747002,19564
93.3,'01747002,19669
93.3,'01747002,19774
93.3,'01747002,19879
92.7,'01747002,19984
92.6,'01747002,20089
92.7,'01747002,20194
92.5,'01747002,20299
92.2,'01747002,20404
92.2,'01747002,20509
93.7,'01747002,17779
92.1,'01747002,20614
92.1,'01747002,20719
92.0,'01747002,20824
92.0,'01747002,20929
92.0,'01747002,21034
91.6,'01747002,21139
91.6,'01747002,21244
91.4,'01747002,21349
91.4,'01747002,21454
91.3,'01747002,21559
93.7,'01747002,17884
91.2,'01747002,21664
90.7,'01747002,21769
90.6,'01747002,21874
90.6,'01747002,21979
90.6,'01747002,22084
90.6,'01747002,22189
90.5,'01747002,22294
90.5,'01747002,22399
90.5,'01747002,22504
90.5,'01747002,22609
93.7,'01747002,17989
90.5,'01747002,22714
90.5,'01747002,22819
90.5,'01747002,22924
90.5,'01747002,23029
90.2,'01747002,23134
90.1,'01747002,23239
90.2,'01747002,23344
90.1,'01747002,23449
89.9,'01747002,23554
90.0,'01747002,23659
93.7,'01747002,18094
89.9,'01747002,23764
89.9,'01747002,23869
89.9,'01747002,23974
89.9,'01747002,24079
89.8,'01747002,24184
89.8,'01747002,24289
89.7,'01747002,24394
89.6,'01747002,24499
89.6,'01747002,24604
89.6,'01747002,24709
93.7,'01747002,18199
89.6,'01747002,24814
89.6,'01747002,24919
89.6,'01747002,25024
89.6,'01747002,25129
89.2,'01747002,25234
88.9,'01747002,25339
88.5,'01747002,25444
88.4,'01747002,25549
88.2,'01747002,25654
87.9,'01747002,25759
93.7,'01747002,18304
87.7,'01747002,25864
87.7,'01747002,25969
87.7,'01747002,26074
87.7,'01747002,26179
87.9,'01747002,26284
87.8,'01747002,26389
87.7,'01747002,26494
87.7,'01747002,26599
87.6,'01747002,26704
87.3,'01747002,26809
93.7,'01747002,18409
87.2,'01747002,26914
86.8,'01747002,27019
86.4,'01747002,27124
86.3,'01747002,27229
86.2,'01747002,27334
86.2,'01747002,27439
